90.25,2205.0
90.64,2191.0
91.02,2174.0
91.41,2149.0
91.77,2130.0
92.14,2124.0
92.52,2127.0
92.89,2130.0
93.27,2118.0
93.64,2095.0
94.02,2079.0
94.41,2067.0
94.78,2059.0
95.16,2060.0
95.53,2062.0
95.91,2073.0
96.28,2083.0
96.66,2081.0
97.03,2077.0
97.41,2075.0
97.8,2065.0
98.17,2051.0
98.55,2039.0
98.92,2027.0
99.3,2022.0
99.67,2028.0
100.05,2031.0
100.42,2028.0
100.81,2024.0
101.19,2034.0
112.11,1835.0
112.5,1831.0
112.88,1817.0
113.25,1803.0
113.62,1799.0
114.0,1801.0
114.38,1798.0
114.75,1789.0
115.12,1784.0
115.5,1783.0
115.89,1787.0
116.27,1787.0
116.64,1774.0
117.02,1766.0
117.39,1771.0
117.77,1776.0
118.14,1769.0
118.52,1763.0
118.91,1764.0
119.28,1764.0
119.66,1761.0
120.03,1752.0
120.41,1737.0
120.78,1723.0
121.16,1708.0
121.53,1694.0
121.92,1679.0
122.3,1665.0
122.67,1651.0
123.05,1636.0
123.42,1621.0
123.8,1605.0
124.17,1589.0
124.55,1575.0
124.94,1563.0
125.31,1550.0
125.69,1537.0
126.06,1527.0
126.44,1513.0
126.81,1498.0
127.19,1488.0
127.56,1481.0
127.97,1469.0
128.33,1454.0
128.7,1440.0
129.08,1430.0
129.45,1419.0
129.83,1410.0
130.2,1401.0
130.58,1391.0
130.95,1384.0
131.33,1375.0
131.7,1361.0
132.09,1349.0
132.47,1341.0
132.84,1332.0
133.22,1324.0
133.59,1318.0
133.97,1308.0
134.34,1300.0
134.72,1290.0
135.09,1280.0
135.47,1274.0
135.86,1271.0
136.23,1274.0
136.61,1282.0
136.98,1293.0
137.36,1303.0
137.73,1313.0
138.11,1322.0
138.48,1331.0
138.86,1343.0
139.23,1363.0
140.75,2501.0
141.12,2512.0
141.5,2538.0
141.88,2565.0
142.25,2587.0
142.62,2605.0
143.02,2628.0
143.39,2655.0
143.77,2684.0
144.14,2711.0
144.53,2735.0
144.91,2763.0
145.28,2786.0
145.66,2803.0
146.05,2826.0
146.42,2843.0
146.8,2842.0
147.17,2851.0
147.56,2883.0
147.94,2921.0
148.31,2955.0
148.69,2986.0
149.08,3020.0
149.45,3057.0
149.83,3093.0
150.2,3133.0
150.59,3176.0
150.97,3214.0
151.34,3253.0
151.72,3328.0
152.11,3351.0
152.48,3396.0
152.86,3467.0
153.23,3490.0
153.62,3565.0
154.0,3594.0
154.38,3683.0
155.14,3974.0
155.52,4046.0
155.89,4119.0
156.27,4190.0
156.66,4269.0
157.03,4351.0
157.41,4386.0
157.78,4499.0
158.17,4528.0
158.55,4559.0
158.92,4579.0
159.3,4689.0
159.67,4792.0
160.05,4908.0
160.44,5019.0
160.81,5137.0
161.19,5261.0
161.56,5378.0
162.7,6053.0
163.08,6218.0
163.45,6393.0
163.83,6584.0
164.22,6750.0
164.59,6743.0
164.97,6705.0
165.34,6684.0
165.72,6689.0
166.11,6681.0
166.48,6674.0
166.86,6669.0
167.23,6660.0
167.61,6649.0
168.0,6638.0
168.38,6632.0
168.75,6625.0
169.12,6614.0
169.5,6608.0
169.89,6604.0
170.27,6597.0
170.64,6587.0
171.02,6578.0
171.39,6569.0
171.78,6589.0
172.16,6660.0
172.53,6555.0
172.91,6468.0
173.3,6465.0
173.67,6462.0
174.05,6463.0
174.42,6463.0
174.8,6459.0
175.17,6455.0
175.56,6454.0
175.94,6455.0
176.31,6456.0
176.69,6456.0
177.06,6483.0
177.44,6566.0
177.83,6566.0
178.2,6565.0
178.59,6566.0
178.95,6569.0
179.33,6575.0
179.7,6578.0
180.09,6580.0
180.47,6583.0
180.84,6586.0
181.22,6588.0
181.59,6590.0
181.98,6593.0
182.36,6600.0
182.73,6606.0
183.11,6611.0
183.48,6615.0
183.86,6621.0
184.25,6629.0
184.62,6634.0
185.0,6639.0
185.38,6646.0
185.75,6653.0
185.98,6660.0
186.12,6660.0
186.36,6652.0
186.52,6638.0
186.73,6618.0
186.89,6594.0
187.11,6583.0
187.27,6577.0
187.47,6576.0
187.64,6582.0
187.84,6577.0
188.02,6589.0
188.22,6582.0
188.41,6599.0
188.59,6599.0
188.78,6606.0
188.97,6614.0
189.16,6613.0
189.34,6617.0
189.53,6622.0
189.7,6622.0
189.91,6632.0
190.08,6636.0
190.28,6643.0
190.45,6648.0
190.67,6653.0
190.83,6653.0
191.42,6893.0
191.58,6901.0
191.8,6899.0
191.95,6906.0
192.17,6910.0
192.31,6913.0
192.55,6924.0
192.69,6923.0
192.94,6940.0
193.06,6941.0
193.31,6955.0
193.44,6958.0
193.69,6966.0
193.81,6970.0
194.06,6977.0
194.19,6982.0
194.44,6993.0
194.55,6996.0
194.81,7009.0
194.92,7010.0
195.2,7018.0
195.3,7023.0
195.58,7028.0
196.05,6680.0
196.42,6658.0
197.09,7058.0
197.47,7134.0
197.53,7139.0
197.84,7141.0
197.91,7147.0
198.22,7154.0
198.28,7158.0
199.36,6432.0
199.41,6430.0
200.11,6679.0
200.14,6657.0
200.48,6587.0
200.52,6552.0
200.86,6481.0
200.89,6464.0
201.23,6377.0
201.27,6374.0
201.62,6281.0
201.64,6278.0
202.0,6192.0
202.02,6176.0
202.38,6110.0
202.39,6095.0
202.75,6032.0
202.77,6022.0
203.12,5951.0
203.14,5942.0
203.52,5865.0
203.52,5866.0
203.91,5787.0
203.91,5832.0
204.27,5730.0
204.27,5754.0
204.64,5653.0
204.64,5653.0
205.02,5582.0
205.03,5581.0
205.39,5549.0
205.41,5548.0
